page	resource_type	author	url
2a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898800.MP3?redirect=download.yutorah.org
2a	video	NotebookLM	https://youtu.be/FsCx5V0vH08
3a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898851.MP3?redirect=download.yutorah.org
3a	video	NotebookLM	https://youtu.be/5Ke2FHdPZYc
4a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898951.MP3?redirect=download.yutorah.org
4a	video	NotebookLM	https://youtu.be/C25VTllWhgs
5a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/899038.MP3?redirect=download.yutorah.org
5a	video	NotebookLM	https://youtu.be/AN20lBm6N34
6a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/899108.MP3?redirect=download.yutorah.org
6a	video	NotebookLM	https://youtu.be/It_dmGh9Daw
7a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/899201.MP3?redirect=download.yutorah.org
7a	video	NotebookLM	https://youtu.be/5BsJDyx96Ps
8a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/752367.MP3?redirect=download.yutorah.org
8a	video	NotebookLM	https://youtu.be/yCYJriktX-8
9a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/752437.MP3?redirect=download.yutorah.org
9a	video	NotebookLM	https://youtu.be/9QHJ9y3pB4c
10a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2025/27007/1147977.MP3?redirect=download.yutorah.org
10a	video	NotebookLM	https://youtu.be/P8soTYHTLas
11a	audio	Rabbi Dr Aaron Glatt	https://shiurim.yutorah.net/2025/27007/1148079.MP3?redirect=download.yutorah.org
11a	video	NotebookLM	https://youtu.be/O0VSuABNYHw
12a	audio	Rabbi Dr Aaron Glatt	https://shiurim.yutorah.net/2025/27007/1148236.MP3?redirect=download.yutorah.org
12a	video	NotebookLM	https://youtu.be/QTkWu3wPF0A
13a	audio	Rabbi Dr Aaron Glatt	https://shiurim.yutorah.net/2025/27007/1148236.MP3?redirect=download.yutorah.org
13a	video	NotebookLM	https://youtu.be/GWPzTK-Sxp4
14a	audio	Rabbi Dr Aaron Glatt	https://shiurim.yutorah.net/2025/27007/1148374.MP3?redirect=download.yutorah.org
14a	video	NotebookLM	https://youtu.be/Mnx8x5wgNww
15a	audio	Rabbi Dr Aaron Glatt	https://shiurim.yutorah.net/2025/27007/1148541.MP3?redirect=download.yutorah.org
15a	video	NotebookLM	https://youtu.be/S5Lxg4sJcrw
16a	video	NotebookLM	https://youtu.be/97SatwVgNJA
17a	video	NotebookLM	https://youtu.be/-Hv3ESRcx4k
18b	video	NotebookLM	https://youtu.be/4qszyKppgCw
19a	video	NotebookLM	https://youtu.be/RRvQ_gUA1pc
20a	video	NotebookLM	https://youtu.be/bShrsz6tsxs
21a	video	NotebookLM	https://youtu.be/nM7pieC4PYI
22a	video	NotebookLM	https://youtu.be/Udq3jnhSytM
23a	video	NotebookLM	https://youtu.be/k8Ati-KUfCw
23b	video	NotebookLM	https://youtu.be/k8Ati-KUfCw
24a	video	NotebookLM	https://youtu.be/TxFS4hC6dL0
24b	video	NotebookLM	https://youtu.be/TxFS4hC6dL0
25a	video	NotebookLM	https://youtu.be/DKy0o0KCXxQ
26a	video	NotebookLM	https://youtu.be/b8jht57Gk-s
27a	video	NotebookLM	https://youtu.be/JiL_eK0VAQs
28a	video	NotebookLM	https://youtu.be/051kdpxFrrw
29a	video	NotebookLM	https://youtu.be/eBzXqSaafVc
30a	video	NotebookLM	https://youtu.be/s3aTszuUYZ8
31a	video	NotebookLM	https://youtu.be/zTMTZTcaWa8
32a	video	NotebookLM	https://youtu.be/5_fdZIBkz2Y
33a	video	NotebookLM	https://youtu.be/5r09W362olQ
33b	video	NotebookLM	https://youtu.be/5r09W362olQ
34a	video	NotebookLM	https://youtu.be/xrMI6ozlnhs
35a	video	NotebookLM	https://youtu.be/BCzNaKCGHOI
36a	video	NotebookLM	https://youtu.be/3RRd66VeJPM
36b	video	NotebookLM	https://youtu.be/IrZoGcliffM
37a	video	NotebookLM	https://youtu.be/IrZoGcliffM
38b	video	NotebookLM	https://youtu.be/xYHXgd025zY
39a	video	NotebookLM	https://youtu.be/fX3p16dUoKE
39b	video	NotebookLM	https://youtu.be/fX3p16dUoKE
40a	video	NotebookLM	https://youtu.be/Brhrw7zYmo8
41b	video	NotebookLM	https://youtu.be/sA29Zu79FbM
42b	video	NotebookLM	https://youtu.be/YdU-OyizQ3U
43a	video	NotebookLM	https://youtu.be/K-7wtawjSGY
16a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2025/1109/1149604.MP3?redirect=download.yutorah.org
17a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2025/1109/1149741.MP3?redirect=download.yutorah.org
18a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/899952.MP3?redirect=download.yutorah.org
19a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2025/1109/1149831.MP3?redirect=download.yutorah.org
20a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/900152.MP3?redirect=download.yutorah.org
21a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/900222.MP3?redirect=download.yutorah.org
22a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/752883.MP3?redirect=download.yutorah.org
23a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/900272.MP3?redirect=download.yutorah.org
24a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/900335.MP3?redirect=download.yutorah.org
25a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1053/900376.MP3?redirect=download.yutorah.org
